GAcX= 0.04 | GAcY= -0.01 | GAcZ= 0.09
GAcX= 0.10 | GAcY= -0.02 | GAcZ= 0.05
GAcX= 0.15 | GAcY= -0.00 | GAcZ= 0.03
GAcX= 0.18 | GAcY= 0.00 | GAcZ= 0.01
GAcX= 0.20 | GAcY= 0.01 | GAcZ= -0.03
GAcX= 0.13 | GAcY= -0.01 | GAcZ= -0.06
GAcX= 0.11 | GAcY= -0.01 | GAcZ= -0.11
GAcX= 0.04 | GAcY= -0.01 | GAcZ= -0.10
GAcX= -0.06 | GAcY= 0.01 | GAcZ= -0.04
GAcX= -0.11 | GAcY= 0.02 | GAcZ= -0.04
GAcX= -0.14 | GAcY= 0.02 | GAcZ= -0.02
GAcX= -0.11 | GAcY= 0.02 | GAcZ= -0.00
GAcX= -0.09 | GAcY= 0.02 | GAcZ= 0.05
GAcX= -0.07 | GAcY= 0.02 | GAcZ= 0.07
GAcX= 0.01 | GAcY= 0.01 | GAcZ= 0.06
GAcX= 0.08 | GAcY= -0.00 | GAcZ= 0.02
GAcX= 0.14 | GAcY= 0.01 | GAcZ= -0.01
GAcX= 0.15 | GAcY= 0.01 | GAcZ= -0.02
GAcX= 0.14 | GAcY= -0.00 | GAcZ= -0.01
GAcX= 0.10 | GAcY= -0.01 | GAcZ= -0.05
GAcX= 0.05 | GAcY= -0.01 | GAcZ= -0.08
GAcX= -0.03 | GAcY= -0.00 | GAcZ= -0.07
GAcX= -0.10 | GAcY= 0.00 | GAcZ= -0.04
GAcX= -0.14 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.16 | GAcY= 0.01 | GAcZ= -0.04
GAcX= -0.14 | GAcY= 0.00 | GAcZ= -0.05
GAcX= -0.10 | GAcY= 0.01 | GAcZ= -0.04
GAcX= -0.07 | GAcY= 0.01 | GAcZ= -0.03
GAcX= -0.01 | GAcY= 0.01 | GAcZ= -0.01
GAcX= 0.02 | GAcY= 0.01 | GAcZ= -0.01
GAcX= 0.04 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.05 | GAcY= -0.00 | GAcZ= -0.04
GAcX= 0.04 | GAcY= 0.00 | GAcZ= -0.03
GAcX= 0.02 | GAcY= -0.00 | GAcZ= -0.02
GAcX= 0.01 | GAcY= -0.01 | GAcZ= -0.01
GAcX= -0.00 | GAcY= -0.01 | GAcZ= -0.02
GAcX= -0.02 | GAcY= -0.01 | GAcZ= -0.03
GAcX= -0.02 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.02 | GAcY= -0.00 | GAcZ= -0.01
GAcX= -0.01 | GAcY= -0.00 | GAcZ= -0.00
GAcX= 0.01 | GAcY= 0.00 | GAcZ= -0.01
GAcX= 0.02 | GAcY= 0.01 | GAcZ= 0.00
GAcX= 0.03 | GAcY= 0.01 | GAcZ= 0.00
